Hardcoded English strings without .tr (excluding translation files and firebase_options.dart)
Total: 918

lib/main.dart:40 | in_en=no | Jovera Finance
lib/utilities/services/notification_service.dart:134 | in_en=no | new_notification
lib/utilities/services/notification_service.dart:135 | in_en=no | new_notification
lib/utilities/services/notification_service.dart:136 | in_en=no | 📩 Socket notification: $data
lib/utilities/services/notification_service.dart:138 | in_en=no | message
lib/utilities/services/notification_service.dart:141 | in_en=no | Notification
lib/utilities/services/notification_service.dart:152 | in_en=yes | View
lib/utilities/services/notification_service.dart:157 | in_en=no | chat:message
lib/utilities/services/notification_service.dart:158 | in_en=no | chat:message
lib/utilities/services/notification_service.dart:161 | in_en=yes | Message
lib/utilities/services/notification_service.dart:162 | in_en=no | text
lib/utilities/services/notification_service.dart:162 | in_en=no | New message received
lib/utilities/services/notification_service.dart:173 | in_en=yes | View
lib/utilities/services/notification_service.dart:179 | in_en=no | Socket disconnected
lib/utilities/services/notification_service.dart:185 | in_en=no | vm:entry-point
lib/utilities/services/notification_service.dart:188 | in_en=no | 🔁 Background message received: ${message.messageId}
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:28 | in_en=yes | Required Documents
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:33 | in_en=yes | Passport
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:37 | in_en=no | pdf
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:43 | in_en=yes | Emirates ID
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:48 | in_en=no | pdf
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:57 | in_en=yes | Valid Salary Certificate
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:63 | in_en=no | pdf
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:67 | in_en=yes | Last 6 months Bank statement
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:74 | in_en=no | pdf
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:78 | in_en=yes | Credit Bureau Report
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:84 | in_en=no | pdf
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:97 | in_en=yes | Passport
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:100 | in_en=yes | Emirates ID
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:107 | in_en=yes | Valid Salary Certificate
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:114 | in_en=yes | Last 6 months Bank statement
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:121 | in_en=yes | Credit Bureau Report
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:126 | in_en=no | Please upload the following documents: ${missingDocuments.join(', ')}
lib/screens/mortgage/personal/mortgage_personal_documents_view.dart:133 | in_en=yes | Next
lib/screens/mortgage/personal/mortgage_personal_details_view.dart:32 | in_en=yes | Personal Details
lib/screens/mortgage/personal/mortgage_personal_details_view.dart:37 | in_en=yes | Full Name
lib/screens/mortgage/personal/mortgage_personal_details_view.dart:134 | in_en=no | +${controller.mobileCountryCode.value}
lib/screens/mortgage/personal/mortgage_personal_details_view.dart:147 | in_en=yes | Phone Number
lib/screens/mortgage/personal/mortgage_personal_details_view.dart:156 | in_en=yes | Email
lib/screens/mortgage/personal/mortgage_personal_details_view.dart:172 | in_en=yes | Next
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:29 | in_en=yes | Calculator
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:38 | in_en=yes | UAE National
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:42 | in_en=yes | UAE Resident
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:52 | in_en=no | Property Price
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:54 | in_en=no | AED ${controller.propertyPrice.value.round()}
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:80 | in_en=yes | Payment Period
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:81 | in_en=no | ${controller.propertyPeriod.value} Years
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:102 | in_en=yes | Advance Payment
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:104 | in_en=no | ${controller.advancePayment.value.round()} AED
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:129 | in_en=no | Minimum ${controller.advance.value}
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:138 | in_en=yes | Annual Interest Rate
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:139 | in_en=no | ${controller.interestRate.value} %
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:154 | in_en=yes | Monthly Installment
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:161 | in_en=no | ${controller.calculateEMI().round()} AED
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:175 | in_en=yes | Total Interest
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:203 | in_en=yes | Total Amount
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:229 | in_en=yes | Apply
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:240 | in_en=yes | Login to Apply
lib/screens/mortgage/calculator/mortgage_calculator_view.dart:250 | in_en=yes | Get Free Consultation
lib/screens/mortgage/widget/calculator_slider.dart:34 | in_en=no | ${min.round()}
lib/screens/mortgage/widget/calculator_slider.dart:35 | in_en=no | ${max.round()}
lib/screens/mortgage/widget/calculator_tab.dart:22 | in_en=yes | UAE National
lib/screens/mortgage/widget/upload_document_widget.dart:70 | in_en=yes | View
lib/screens/mortgage/provider/mortgage_provider.dart:12 | in_en=no | /api/leads/create-lead
lib/screens/mortgage/provider/mortgage_provider.dart:28 | in_en=no | /api/users/verify-email-otp
lib/screens/mortgage/provider/mortgage_provider.dart:29 | in_en=no | email
lib/screens/mortgage/provider/mortgage_provider.dart:29 | in_en=no | otp
lib/screens/mortgage/controller/mortgage_controller.dart:1 | in_en=no | dart:io
lib/screens/mortgage/controller/mortgage_controller.dart:2 | in_en=no | dart:math
lib/screens/mortgage/controller/mortgage_controller.dart:18 | in_en=yes | Salary
lib/screens/mortgage/controller/mortgage_controller.dart:26 | in_en=yes | UAE National
lib/screens/mortgage/controller/mortgage_controller.dart:45 | in_en=yes | UAE National
lib/screens/mortgage/controller/mortgage_controller.dart:46 | in_en=yes | Villa
lib/screens/mortgage/controller/mortgage_controller.dart:47 | in_en=yes | Abu Dhabi
lib/screens/mortgage/controller/mortgage_controller.dart:48 | in_en=yes | New
lib/screens/mortgage/controller/mortgage_controller.dart:50 | in_en=yes | Abu Dhabi
lib/screens/mortgage/controller/mortgage_controller.dart:51 | in_en=yes | Dubai
lib/screens/mortgage/controller/mortgage_controller.dart:52 | in_en=yes | Sharjah
lib/screens/mortgage/controller/mortgage_controller.dart:53 | in_en=yes | Ajman
lib/screens/mortgage/controller/mortgage_controller.dart:54 | in_en=yes | Umm Al Quwain
lib/screens/mortgage/controller/mortgage_controller.dart:55 | in_en=yes | Ras Al Khaimah
lib/screens/mortgage/controller/mortgage_controller.dart:56 | in_en=yes | Fujairah
lib/screens/mortgage/controller/mortgage_controller.dart:58 | in_en=yes | UAE National
lib/screens/mortgage/controller/mortgage_controller.dart:58 | in_en=yes | Expat
lib/screens/mortgage/controller/mortgage_controller.dart:59 | in_en=yes | New
lib/screens/mortgage/controller/mortgage_controller.dart:59 | in_en=yes | Old
lib/screens/mortgage/controller/mortgage_controller.dart:59 | in_en=yes | Off Plan
lib/screens/mortgage/controller/mortgage_controller.dart:60 | in_en=yes | Villa
lib/screens/mortgage/controller/mortgage_controller.dart:60 | in_en=yes | Apartment
lib/screens/mortgage/controller/mortgage_controller.dart:60 | in_en=yes | Townhouse
lib/screens/mortgage/controller/mortgage_controller.dart:60 | in_en=yes | Land
lib/screens/mortgage/controller/mortgage_controller.dart:86 | in_en=no | Your application is successfully submitted. We will get back to you after a short review.
lib/screens/mortgage/controller/mortgage_controller.dart:96 | in_en=no | Opps, an error occurred, Please try again later
lib/screens/mortgage/controller/mortgage_controller.dart:106 | in_en=no | client
lib/screens/mortgage/controller/mortgage_controller.dart:108 | in_en=no | product
lib/screens/mortgage/controller/mortgage_controller.dart:108 | in_en=yes | Mortgage Loan
lib/screens/mortgage/controller/mortgage_controller.dart:110 | in_en=no | description
